日期,中国:公开市场操作:货币净投放,中国:水泥价格指数,中国:30大中城市:成交面积:商品房,中国:二手房出售挂牌价指数,中国:平均批发价:猪肉,南华工业品指数,地铁客运量
2017-10-1,-200.0,113.135,27.8952476,161.32,20.595,1944.405,2665.307
2017-10-2,1700.0,115.665,57.6209068,160.61,20.44125,1980.7925,3444.0779999999995
2017-10-3,3900.0,116.99285714285716,55.15208854545455,161.83499999999998,20.237142857142857,1962.612857142857,3395.49
2017-11-1,-1700.0,119.20625,54.8417995,162.71,20.1775,2000.63,3521.4970000000003
2017-11-2,8100.0,123.10833333333332,43.5987838,162.625,20.146666666666665,2007.235,3318.022
2017-11-3,1500.0,131.70875,56.4599286,163.65,20.27,2051.215,3467.83
2017-12-1,-2750.0,141.265,57.39315380000001,163.82,20.468333333333334,2066.7883333333334,3329.512
2017-12-2,800.0,147.58125,58.9240817,164.195,20.77875,2054.245,3391.906
2017-12-3,-450.0,149.49428571428572,60.78149027272728,165.26,20.9,2077.421428571429,3436.594
2018-3-1,-3220.0,140.99428571428572,42.18654073333333,165.9275,20.201904761904764,2079.821904761905,3267.264333333333
2018-3-2,2175.0,139.228,32.249682633333336,166.61399999999998,19.88055555555556,2046.2817647058823,2852.1526666666664
2018-3-3,-550.0,136.614,42.39871616666667,167.69,19.44818181818182,2024.6433333333327,3278.215333333333
2018-4-1,-200.0,133.716,37.711551,171.39,17.03,1933.708,3352.876
2018-4-2,1900.0,135.8525,45.8192381,172.42,16.5825,1975.24125,3659.421
2018-4-3,-2700.0,138.308,46.5203389,174.59,16.186666666666667,2021.04,3496.788
2018-5-1,-1100.0,141.45,48.0329797,175.34,15.885714285714286,2049.882857142857,3443.5710000000004
2018-5-2,1350.0,142.34,43.6970323,176.84,15.901666666666666,2078.1566666666668,3463.536
2018-5-3,-300.0,143.04888888888888,55.56810009090909,176.85500000000002,16.095555555555556,2056.58,3563.1181818181817
2018-6-1,550.0,142.89166666666668,49.363918,177.42,16.55,2091.7147,3317.6780000000003
2018-6-2,2400.0,142.62428571428572,49.3267937,179.015,16.580000000000002,2092.803614285714,3464.41
2018-6-3,-1150.0,142.36714285714285,63.6490275,181.27,16.639999999999997,2051.542857142857,3486.8789999999995
2018-7-1,-5000.0,141.23,49.9261504,181.92,16.655714285714286,2052.832857142857,3550.2519999999995
2018-7-2,2250.0,140.045,53.32876639999999,182.69,17.405,2046.04125,3768.347
2018-7-3,-3700.0,139.7257142857143,62.25042090909091,182.56,17.889999999999997,2101.6428571428573,3516.347272727273
2018-8-1,-1050.0,139.07625,58.49693549999999,183.71,18.505,2171.46875,3687.819
2018-8-2,1300.0,139.205,52.580791,183.84,19.091666666666665,2198.651666666666,3504.463
2018-8-3,-650.0,139.7,61.45703418181818,184.46,19.48444444444445,2202.4,3644.688181818181
2018-9-1,0.0,141.95666666666668,51.4031575,184.39,19.668333333333333,2168.866666666667,3371.384
2018-9-2,3300.0,142.84875,56.8864103,183.87,19.90375,2172.435,3578.418111111112
2018-9-3,-850.0,143.584,57.6103323,184.61,20.002857142857145,2196.052,3585.409000000001
2018-10-1,-1000.0,144.91333333333333,32.6329406,184.685,19.8,2244.48,3049.344
2018-10-2,-150.0,145.78142857142856,56.0808231,184.57,19.79714285714285,2235.29,3653.162
2018-10-3,4600.0,148.76875,59.27819054545455,184.49,19.39875,2212.175,3634.11
2018-11-1,-2450.0,155.3385714285714,54.7173313,183.7,19.25142857142857,2145.115714285714,3575.699
2018-11-2,0.0,158.11,59.7346714,183.295,19.06571428571429,2102.098571428571,3526.9879999999994
2018-11-3,0.0,161.035,71.2562336,183.52,18.99,1999.58125,3686.659000000001
2018-12-1,0.0,162.18833333333333,61.9864718,183.01,19.2,2046.7583333333328,3405.018
2018-12-2,0.0,162.1925,70.5764477,182.19,19.6025,2051.97875,3596.028
2018-12-3,3050.0,162.31,80.24155490909091,181.495,19.385714285714283,2011.13,3530.905454545454
2019-3-1,75.0,152.97571428571428,34.56073803333334,181.24,18.575625,2133.295,2892.0703333333336
2019-3-2,225.0,150.03,46.46086313333333,181.84,19.12363636363636,2167.8863636363635,3482.181666666668
2019-3-3,-1828.75,149.4222727272727,55.70148666666667,181.7275,19.12909090909091,2170.6022727272725,3568.79
2019-4-1,0.0,148.00285714285715,49.2720724,183.275,20.24428571428572,2259.4757142857143,3688.822
2019-4-2,1500.0,149.20000000000002,57.9408581,183.27,20.165714285714284,2271.074285714286,3714.492
2019-4-3,-3000.0,149.6142857142857,63.7222126,183.615,20.4625,2261.8,3777.405
2019-5-1,500.0,149.974,46.1914575,183.6,20.53,2262.446,3606.102
2019-5-2,-500.0,150.28333333333333,59.0590744,183.695,20.633333333333333,2279.1116666666667,3610.234
2019-5-3,2650.0,150.38222222222225,59.709568,184.31,20.596666666666668,2308.104444444444,3685.882636363636
2019-6-1,-3200.0,150.18400000000003,49.4925504,184.33,20.9325,2228.762,3426.675
2019-6-2,650.0,148.7075,64.787931,184.36,21.335,2260.955,3727.817
2019-6-3,1412.5,147.5016666666667,68.6934387,184.43,22.674,2311.726666666667,3599.701
2019-7-1,-3400.0,146.71,62.2223522,184.705,22.875,2336.56125,3909.334
2019-7-2,1200.0,145.34428571428572,58.339146500000005,185.21,23.66857142857143,2355.557142857143,3899.862311111111
2019-7-3,-4100.0,144.4775,55.184871,185.095,24.28375,2329.07625,3783.447272727272
2019-8-1,-275.0,144.06714285714287,53.2423044,184.73,25.142857142857142,2259.0614285714287,3734.465222222222
2019-8-2,3000.0,143.78,46.3516613,185.09,27.92714285714285,2235.377142857143,3791.331
2019-8-3,-800.0,144.72375,56.74089590909091,185.8,32.11625,2205.83,3809.273636363636
2019-9-1,-1000.0,146.26714285714286,54.2560578,186.01,35.12285714285714,2273.36,3580.757
